// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4CB9F
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
55147	9.537004	-1.286523	-1.790220	-0.042773	0.031023	-0.016301	0.213547	0.015398	0.976811	0.622487	-0.772760	-0.123904	0.752933	0.634511	-0.174606
55148	9.542074	-1.294764	-1.766255	-0.037296	0.028775	-0.015299	0.213285	0.015309	0.976870	0.622249	-0.772977	-0.123745	0.753203	0.634250	-0.174391
55149	9.544021	-1.250786	-1.799104	-0.030345	0.028725	-0.018930	0.213053	0.015283	0.976921	0.622072	-0.773147	-0.123570	0.753415	0.634043	-0.174229
55150	9.539230	-1.279609	-1.783301	-0.025988	0.026513	-0.022002	0.212767	0.015261	0.976984	0.621934	-0.773291	-0.123365	0.753610	0.633868	-0.174022
55151	9.531329	-1.256024	-1.824460	-0.022673	0.023761	-0.023952	0.212527	0.015300	0.977035	0.621907	-0.773344	-0.123169	0.753700	0.633802	-0.173872
55152	9.537609	-1.221992	-1.835949	-0.021628	0.024297	-0.025080	0.212239	0.015316	0.977098	0.621808	-0.773460	-0.122942	0.753863	0.633660	-0.173681
55153	9.553628	-1.167056	-1.839857	-0.021133	0.011745	-0.026027	0.211981	0.015409	0.977152	0.621754	-0.773545	-0.122684	0.753981	0.633554	-0.173557
55154	9.538796	-1.216333	-1.833541	-0.019579	0.013362	-0.025467	0.211772	0.015497	0.977196	0.621671	-0.773647	-0.122456	0.754107	0.633427	-0.173471
55155	9.556957	-1.210181	-1.862123	-0.017909	0.011180	-0.028689	0.211615	0.015661	0.977228	0.621473	-0.773850	-0.122176	0.754315	0.633175	-0.173491
55156	9.552002	-1.238447	-1.847782	-0.015219	0.011155	-0.028538	0.211404	0.015787	0.977271	0.621429	-0.773925	-0.121926	0.754410	0.633081	-0.173421
55157	9.563215	-1.218125	-1.757880	-0.013571	0.010587	-0.027265	0.211213	0.015922	0.977310	0.621489	-0.773912	-0.121705	0.754414	0.633093	-0.173356
55158	9.580208	-1.253675	-1.751390	-0.013132	0.012233	-0.030789	0.210980	0.016059	0.977359	0.621466	-0.773972	-0.121437	0.754498	0.633016	-0.173272
55159	9.556556	-1.194562	-1.718092	-0.013250	0.016027	-0.027009	0.210718	0.016147	0.977414	0.621168	-0.774260	-0.121125	0.754817	0.632661	-0.173181
55160	9.583461	-1.209161	-1.702960	-0.014963	0.017153	-0.033502	0.210431	0.016274	0.977473	0.621136	-0.774332	-0.120827	0.754923	0.632570	-0.173052
55161	9.589561	-1.174584	-1.715178	-0.019031	0.012783	-0.028316	0.210281	0.016428	0.977503	0.621183	-0.774327	-0.120616	0.754926	0.632572	-0.173031
55162	9.568202	-1.164326	-1.706081	-0.025129	0.017713	-0.027255	0.210028	0.016503	0.977556	0.621062	-0.774465	-0.120361	0.755096	0.632402	-0.172909
55163	9.556649	-1.133059	-1.688733	-0.028827	0.015560	-0.030802	0.209652	0.016593	0.977635	0.620860	-0.774683	-0.119994	0.755367	0.632132	-0.172716
55164	9.576031	-1.084301	-1.752176	-0.034703	0.014500	-0.032824	0.209389	0.016731	0.977689	0.620678	-0.774880	-0.119668	0.755589	0.631887	-0.172636
55165	9.569271	-1.150268	-1.783835	-0.042058	0.011240	-0.030207	0.209147	0.016880	0.977739	0.620438	-0.775123	-0.119335	0.755854	0.631584	-0.172588
55166	9.613715	-1.160844	-1.799241	-0.042968	0.006884	-0.032891	0.208941	0.017067	0.977779	0.620193	-0.775372	-0.118994	0.756112	0.631274	-0.172592
55167	9.596613	-1.160321	-1.769384	-0.038826	0.010669	-0.032880	0.208720	0.017252	0.977823	0.619964	-0.775608	-0.118649	0.756360	0.630980	-0.172581
55168	9.609420	-1.184530	-1.784825	-0.034589	0.012274	-0.032156	0.208478	0.017400	0.977872	0.619780	-0.775803	-0.118330	0.756577	0.630735	-0.172522
55169	9.592361	-1.184359	-1.754552	-0.035122	0.012796	-0.029355	0.208360	0.017579	0.977894	0.619755	-0.775858	-0.118104	0.756631	0.630663	-0.172553
55170	9.612437	-1.139110	-1.737060	-0.032090	0.016612	-0.033434	0.208078	0.017710	0.977952	0.619593	-0.776037	-0.117777	0.756841	0.630439	-0.172449
55171	9.591131	-1.128149	-1.727967	-0.037455	0.016617	-0.033776	0.207813	0.017867	0.978005	0.619467	-0.776187	-0.117448	0.757017	0.630249	-0.172369
55172	9.569886	-1.116987	-1.718633	-0.035562	0.022067	-0.037447	0.207464	0.017994	0.978077	0.619287	-0.776387	-0.117076	0.757260	0.630000	-0.172216
55173	9.570661	-1.112764	-1.717052	-0.040828	0.019882	-0.037086	0.207155	0.018160	0.978140	0.619130	-0.776568	-0.116705	0.757472	0.629772	-0.172113
55174	9.579384	-1.125891	-1.753371	-0.041863	0.019318	-0.035983	0.206837	0.018293	0.978204	0.618899	-0.776807	-0.116336	0.757748	0.629473	-0.171994
55175	9.556389	-1.152827	-1.790415	-0.040520	0.013305	-0.034987	0.206532	0.018461	0.978266	0.618707	-0.777017	-0.115959	0.757988	0.629209	-0.171901
55176	9.569307	-1.176703	-1.806026	-0.035451	0.007840	-0.034940	0.206307	0.018658	0.978309	0.618522	-0.777216	-0.115611	0.758200	0.628958	-0.171885
55177	9.582184	-1.200650	-1.821918	-0.036488	0.007279	-0.033833	0.206031	0.018844	0.978364	0.618301	-0.777448	-0.115232	0.758456	0.628664	-0.171830
55178	9.596692	-1.186691	-1.791749	-0.034341	0.007797	-0.030859	0.205831	0.019011	0.978403	0.618116	-0.777641	-0.114926	0.758661	0.628421	-0.171814
55179	9.589193	-1.165743	-1.753595	-0.034937	0.008889	-0.033276	0.205733	0.019259	0.978419	0.618105	-0.777688	-0.114662	0.758697	0.628355	-0.171900
55180	9.599415	-1.140649	-1.744909	-0.046224	0.008368	-0.040896	0.205468	0.019500	0.978470	0.617850	-0.777953	-0.114238	0.758976	0.628020	-0.171892
55181	9.648430	-1.160515	-1.738660	-0.046416	0.012715	-0.042331	0.205357	0.019818	0.978486	0.617565	-0.778236	-0.113848	0.759237	0.627659	-0.172055
55182	9.622504	-1.184094	-1.635768	-0.042885	0.017615	-0.044712	0.204998	0.020031	0.978557	0.617343	-0.778479	-0.113392	0.759515	0.627351	-0.171953
55183	9.605667	-1.182722	-1.604978	-0.044120	0.021407	-0.045030	0.204647	0.020258	0.978626	0.617186	-0.778669	-0.112945	0.759738	0.627108	-0.171856
55184	9.557196	-1.195295	-1.574645	-0.045053	0.018654	-0.043225	0.204290	0.020454	0.978697	0.616944	-0.778925	-0.112500	0.760030	0.626784	-0.171745
55185	9.581484	-1.159485	-1.535275	-0.043801	0.014826	-0.042945	0.203954	0.020681	0.978762	0.616784	-0.779115	-0.112062	0.760250	0.626540	-0.171659
55186	9.617590	-1.147278	-1.593243	-0.039969	0.013188	-0.043196	0.203638	0.020911	0.978823	0.616580	-0.779338	-0.111626	0.760500	0.626254	-0.171596
55187	9.632179	-1.132455	-1.562555	-0.039364	0.012072	-0.040802	0.203386	0.021159	0.978870	0.616381	-0.779554	-0.111218	0.760729	0.625977	-0.171592
55188	9.636629	-1.134354	-1.621137	-0.041544	0.013130	-0.039292	0.203095	0.021359	0.978926	0.616157	-0.779788	-0.110818	0.760988	0.625679	-0.171531
55189	9.610901	-1.112139	-1.634056	-0.047395	0.012013	-0.041369	0.202837	0.021608	0.978974	0.615766	-0.780162	-0.110363	0.761374	0.625204	-0.171551
55190	9.602042	-1.128036	-1.641846	-0.053347	0.013072	-0.044159	0.202516	0.021847	0.979035	0.615461	-0.780468	-0.109894	0.761705	0.624814	-0.171503
55191	9.567311	-1.130499	-1.582628	-0.060132	0.009208	-0.044425	0.202216	0.022119	0.979091	0.614960	-0.780937	-0.109368	0.762189	0.624218	-0.171520
55192	9.567501	-1.120716	-1.663034	-0.059286	0.014100	-0.046981	0.201871	0.022373	0.979157	0.614615	-0.781279	-0.108862	0.762559	0.623781	-0.171468
55193	9.572625	-1.125806	-1.640895	-0.061408	0.013534	-0.050014	0.201604	0.022707	0.979204	0.614386	-0.781528	-0.108370	0.762814	0.623457	-0.171510
55194	9.555729	-1.123832	-1.610774	-0.060458	0.016243	-0.051865	0.201213	0.022987	0.979278	0.614042	-0.781875	-0.107814	0.763195	0.623011	-0.171438
55195	9.588083	-1.103968	-1.609497	-0.060238	0.011855	-0.050484	0.200826	0.023284	0.979350	0.613954	-0.782014	-0.107305	0.763368	0.622825	-0.171344
55196	9.584480	-1.087377	-1.630452	-0.056506	0.012405	-0.051443	0.200466	0.023585	0.979417	0.613638	-0.782337	-0.106760	0.763716	0.622409	-0.171305
55197	9.585274	-1.081297	-1.629826	-0.061407	0.013994	-0.055374	0.200077	0.023925	0.979488	0.613358	-0.782636	-0.106172	0.764042	0.622020	-0.171262
55198	9.590477	-1.085667	-1.607684	-0.065710	0.014479	-0.056896	0.199668	0.024256	0.979563	0.612983	-0.783013	-0.105557	0.764451	0.621532	-0.171212
55199	9.630453	-1.124274	-1.609856	-0.069520	0.016041	-0.056710	0.199322	0.024615	0.979625	0.612567	-0.783420	-0.104953	0.764874	0.621005	-0.171231
55200	9.591538	-1.115003	-1.571788	-0.073330	0.017597	-0.056529	0.198893	0.024924	0.979704	0.612132	-0.783843	-0.104329	0.765334	0.620458	-0.171158
55201	9.623975	-1.094055	-1.570260	-0.079751	0.017519	-0.061084	0.198416	0.025272	0.979792	0.611720	-0.784254	-0.103650	0.765787	0.619925	-0.171068
55202	9.643730	-1.045194	-1.552080	-0.078798	0.020215	-0.062950	0.197927	0.025616	0.979882	0.611255	-0.784709	-0.102954	0.766285	0.619335	-0.170973
55203	9.658517	-1.027792	-1.520588	-0.089318	0.027665	-0.064166	0.197458	0.025976	0.979967	0.610865	-0.785101	-0.102276	0.766717	0.618823	-0.170892
55204	9.615793	-1.011977	-1.421873	-0.102023	0.036146	-0.063875	0.196843	0.026229	0.980084	0.610222	-0.785698	-0.101531	0.767387	0.618054	-0.170664
55205	9.666593	-0.991030	-1.366724	-0.109966	0.045767	-0.065631	0.196214	0.026479	0.980204	0.609606	-0.786271	-0.100789	0.768037	0.617314	-0.170419
55206	9.645164	-1.019139	-1.321383	-0.119104	0.047187	-0.065906	0.195501	0.026682	0.980340	0.608833	-0.786971	-0.099996	0.768831	0.616413	-0.170099
55207	9.650866	-1.022290	-1.296246	-0.124328	0.056226	-0.062236	0.194737	0.026800	0.980489	0.608020	-0.787697	-0.099229	0.769669	0.615480	-0.169688
55208	9.670296	-1.015685	-1.240256	-0.124614	0.062659	-0.064445	0.193914	0.026898	0.980650	0.607199	-0.788428	-0.098442	0.770524	0.614539	-0.169220
55209	9.698298	-1.025452	-1.221524	-0.122893	0.071815	-0.064319	0.193041	0.026950	0.980821	0.606405	-0.789135	-0.097667	0.771368	0.613628	-0.168678
55210	9.682076	-1.022250	-1.185991	-0.123473	0.084176	-0.063377	0.192059	0.026910	0.981014	0.605588	-0.789858	-0.096893	0.772255	0.612699	-0.167995
55211	9.706561	-0.983886	-1.139774	-0.126901	0.089459	-0.067541	0.191017	0.026871	0.981219	0.604692	-0.790645	-0.096065	0.773214	0.611685	-0.167276
55212	9.681784	-0.964389	-1.064235	-0.128259	0.106643	-0.065183	0.189850	0.026710	0.981450	0.603837	-0.791394	-0.095267	0.774169	0.610723	-0.166375
55213	9.679180	-0.951639	-0.995227	-0.133019	0.117247	-0.065114	0.188606	0.026483	0.981696	0.603059	-0.792080	-0.094494	0.775079	0.609843	-0.165362
55214	9.711827	-0.972695	-0.949538	-0.132177	0.133356	-0.064297	0.187236	0.026155	0.981967	0.602169	-0.792851	-0.093701	0.776102	0.608854	-0.164199
55215	9.748800	-1.005169	-0.880865	-0.125521	0.150629	-0.061317	0.185766	0.025700	0.982258	0.601404	-0.793517	-0.092977	0.777049	0.608006	-0.162864
55216	9.754606	-1.015790	-0.764203	-0.119757	0.174888	-0.057615	0.184111	0.025070	0.982586	0.600594	-0.794212	-0.092273	0.778068	0.607123	-0.161280
55217	9.778267	-1.022255	-0.674072	-0.104942	0.199863	-0.054347	0.182270	0.024250	0.982949	0.599869	-0.794834	-0.091625	0.779060	0.606342	-0.159421
55218	9.823352	-1.078694	-0.554976	-0.083694	0.235236	-0.052813	0.180171	0.023219	0.983361	0.599327	-0.795311	-0.091029	0.779965	0.605756	-0.157208
55219	9.783652	-1.041377	-0.366533	-0.068104	0.267770	-0.058109	0.177824	0.022045	0.983815	0.598856	-0.795737	-0.090413	0.780865	0.605241	-0.154703
55220	9.814195	-1.034269	-0.175946	-0.044340	0.307357	-0.057873	0.175128	0.020620	0.984330	0.598626	-0.795975	-0.089831	0.781650	0.604978	-0.151742
55221	9.836161	-0.924948	-0.009453	-0.021288	0.352215	-0.061620	0.172024	0.018911	0.984911	0.598506	-0.796132	-0.089248	0.782431	0.604828	-0.148272
55222	9.851697	-0.926960	0.159686	0.002632	0.392088	-0.066936	0.168605	0.017047	0.985536	0.598656	-0.796086	-0.088648	0.783060	0.604943	-0.144430
55223	9.845689	-0.915392	0.259664	0.023519	0.430636	-0.074418	0.164910	0.015015	0.986194	0.599142	-0.795784	-0.088072	0.783475	0.605394	-0.140228
55224	9.853928	-0.886584	0.313567	0.035522	0.468786	-0.087084	0.160766	0.012843	0.986909	0.599578	-0.795539	-0.087317	0.784003	0.605767	-0.135596
55225	9.764409	-0.809655	0.356633	0.043055	0.498483	-0.090582	0.156423	0.010517	0.987634	0.600016	-0.795291	-0.086563	0.784546	0.606137	-0.130712
55226	9.721895	-0.878605	0.428464	0.035497	0.525534	-0.103309	0.151731	0.008126	0.988388	0.600470	-0.795047	-0.085643	0.785120	0.606493	-0.125513
55227	9.730370	-0.822163	0.559132	0.037495	0.548824	-0.102709	0.146861	0.005552	0.989141	0.600900	-0.794818	-0.084756	0.785717	0.606822	-0.120064
55228	9.841631	-0.922130	0.567673	0.023068	0.598083	-0.111316	0.141543	0.002781	0.989928	0.601258	-0.794655	-0.083737	0.786418	0.607055	-0.114150
55229	9.874430	-0.961728	0.709986	0.044572	0.675931	-0.110970	0.135681	-0.000486	0.990752	0.601883	-0.794278	-0.082816	0.786973	0.607554	-0.107476
55230	9.888725	-0.991355	0.978950	0.053488	0.758625	-0.117945	0.129051	-0.004186	0.991629	0.602478	-0.793937	-0.081758	0.787633	0.607986	-0.099936
55231	9.987605	-1.058188	1.141966	0.093002	0.850903	-0.131869	0.121623	-0.008406	0.992541	0.603522	-0.793255	-0.080672	0.788016	0.608832	-0.091405
55232	10.097424	-0.974349	1.417807	0.129787	0.938533	-0.167471	0.113267	-0.012822	0.993482	0.604760	-0.792462	-0.079176	0.788312	0.609786	-0.082006
55233	10.120889	-1.000518	1.712163	0.186857	1.050635	-0.190658	0.103885	-0.017827	0.994430	0.606477	-0.791311	-0.077543	0.788286	0.611154	-0.071393
55234	9.957592	-0.862347	2.062102	0.246552	1.110456	-0.218138	0.093861	-0.022924	0.995321	0.608655	-0.789826	-0.075589	0.787864	0.612902	-0.060181
55235	9.764800	-0.621089	1.966881	0.230310	1.038641	-0.208626	0.084439	-0.027763	0.996042	0.610550	-0.788537	-0.073738	0.787463	0.614360	-0.049633
55236	10.075084	-0.389038	1.671849	0.185862	0.904646	-0.208772	0.076094	-0.031707	0.996596	0.612201	-0.787436	-0.071796	0.787032	0.615580	-0.040509
