// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4CBA7
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
27307	9.718868	-0.123854	-0.973729	0.160593	0.006688	0.050625	-0.059855	-0.066171	0.996011	-0.846034	0.532905	-0.015438	-0.529758	-0.843584	-0.087881
27308	9.684821	-0.059142	-0.767388	0.121459	0.012074	0.043164	-0.060114	-0.065854	0.996017	-0.846653	0.531907	-0.015931	-0.528740	-0.844238	-0.087730
27309	9.672229	-0.083164	-0.607985	0.097543	0.006134	0.042248	-0.060449	-0.065610	0.996013	-0.847248	0.530944	-0.016445	-0.527748	-0.844863	-0.087683
27310	9.638450	-0.120793	-0.546821	0.089605	-0.005835	0.040676	-0.060781	-0.065457	0.996003	-0.847697	0.530212	-0.016886	-0.526987	-0.845335	-0.087715
27311	9.662357	-0.055496	-0.428350	0.091545	-0.012353	0.043081	-0.061101	-0.065301	0.995993	-0.848329	0.529185	-0.017347	-0.525932	-0.845990	-0.087731
27312	9.642315	-0.064198	-0.443629	0.082952	-0.027872	0.037708	-0.061525	-0.065351	0.995964	-0.848744	0.528506	-0.017752	-0.525213	-0.846410	-0.087983
27313	9.688594	-0.047563	-0.478665	0.074967	-0.046140	0.036820	-0.062057	-0.065581	0.995916	-0.849096	0.527926	-0.018145	-0.524580	-0.846754	-0.088446
27314	9.705119	0.032259	-0.535883	0.064599	-0.044458	0.042644	-0.062609	-0.065746	0.995870	-0.849411	0.527405	-0.018583	-0.524006	-0.847066	-0.088866
27315	9.700525	-0.038083	-0.646236	0.026154	-0.052181	0.048024	-0.063191	-0.065921	0.995822	-0.849596	0.527091	-0.019020	-0.523634	-0.847248	-0.089314
27316	9.685475	-0.180377	-0.762333	-0.005027	-0.052823	0.038528	-0.063752	-0.066179	0.995769	-0.849548	0.527157	-0.019356	-0.523645	-0.847187	-0.089830
27317	9.755131	-0.303298	-0.967476	0.010293	-0.054811	0.046098	-0.064388	-0.066431	0.995711	-0.849509	0.527204	-0.019760	-0.523630	-0.847138	-0.090380
27318	9.756115	-0.262392	-1.034931	0.027900	-0.052223	0.045895	-0.065008	-0.066645	0.995657	-0.849627	0.526996	-0.020198	-0.523361	-0.847250	-0.090883
27319	9.745844	-0.199228	-1.047803	0.033605	-0.049428	0.044872	-0.065588	-0.066817	0.995607	-0.849936	0.526480	-0.020658	-0.522787	-0.847558	-0.091321
27320	9.738022	-0.220678	-1.036243	0.033296	-0.050110	0.046555	-0.066202	-0.067010	0.995554	-0.850082	0.526227	-0.021108	-0.522473	-0.847699	-0.091802
27321	9.685413	-0.217037	-1.055062	0.045915	-0.045910	0.045647	-0.066798	-0.067188	0.995502	-0.850267	0.525911	-0.021558	-0.522097	-0.847882	-0.092257
27322	9.690579	-0.151353	-0.911932	0.042563	-0.046038	0.053881	-0.067453	-0.067308	0.995449	-0.850455	0.525584	-0.022090	-0.521705	-0.848075	-0.092695
27323	9.675650	-0.189934	-0.883712	0.024701	-0.048427	0.050264	-0.068186	-0.067524	0.995385	-0.850490	0.525505	-0.022611	-0.521553	-0.848107	-0.093261
27324	9.687940	-0.207420	-0.858760	0.026402	-0.049320	0.053654	-0.068856	-0.067674	0.995329	-0.850593	0.525316	-0.023127	-0.521297	-0.848212	-0.093734
27325	9.722772	-0.169878	-0.841029	0.020358	-0.048688	0.048559	-0.069498	-0.067863	0.995271	-0.850649	0.525204	-0.023588	-0.521120	-0.848266	-0.094229
27326	9.747047	-0.204456	-0.828302	0.010614	-0.045607	0.051059	-0.070127	-0.067996	0.995218	-0.850671	0.525147	-0.024062	-0.521000	-0.848291	-0.094669
