// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4CB9F
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
06869	9.221488	-0.132216	3.279238	-0.018119	0.015238	0.002992	0.312253	0.139142	0.939754	-0.386512	0.922249	-0.008124	-0.867817	-0.360690	0.341755
06870	9.202850	-0.106624	3.293417	-0.011849	0.012535	0.002968	0.312323	0.139207	0.939721	-0.386381	0.922303	-0.008210	-0.867850	-0.360526	0.341843
06871	9.178931	-0.078496	3.341603	-0.007867	0.014338	0.000982	0.312386	0.139289	0.939688	-0.386363	0.922310	-0.008272	-0.867836	-0.360476	0.341933
06872	9.177108	-0.059423	3.394128	-0.006950	0.018205	-0.000699	0.312476	0.139365	0.939647	-0.386304	0.922334	-0.008333	-0.867829	-0.360386	0.342044
06873	9.157918	-0.089450	3.429660	-0.021284	0.013536	0.000117	0.312535	0.139436	0.939617	-0.386167	0.922390	-0.008433	-0.867869	-0.360214	0.342125
06874	9.144218	-0.121772	3.430635	-0.021334	0.007426	-0.005654	0.312556	0.139433	0.939610	-0.385984	0.922466	-0.008494	-0.867943	-0.360020	0.342141
06875	9.180698	-0.119108	3.384592	-0.031040	0.014029	-0.001307	0.312625	0.139493	0.939578	-0.385758	0.922560	-0.008614	-0.868019	-0.359757	0.342226
06876	9.144305	-0.198281	3.402658	-0.023122	0.008664	-0.003784	0.312671	0.139498	0.939562	-0.385534	0.922653	-0.008689	-0.868102	-0.359516	0.342268
06877	9.221731	-0.175051	3.326465	-0.021200	0.008854	-0.005068	0.312710	0.139505	0.939548	-0.385381	0.922716	-0.008739	-0.868156	-0.359351	0.342305
06878	9.195637	-0.127162	3.285227	-0.014559	0.012767	-0.000741	0.312750	0.139593	0.939522	-0.385338	0.922733	-0.008827	-0.868160	-0.359273	0.342376
06879	9.197928	-0.091267	3.354391	-0.008470	0.010979	0.001245	0.312783	0.139666	0.939500	-0.385315	0.922742	-0.008893	-0.868158	-0.359222	0.342434
06880	9.189598	-0.125922	3.321206	-0.009570	0.008026	0.004933	0.312760	0.139808	0.939487	-0.385372	0.922717	-0.009020	-0.868142	-0.359230	0.342467
06881	9.215486	-0.118992	3.343162	-0.007693	0.010557	0.006245	0.312770	0.139925	0.939466	-0.385372	0.922716	-0.009131	-0.868138	-0.359188	0.342521
06882	9.165410	-0.098758	3.369944	-0.008608	0.009555	0.000660	0.312804	0.139948	0.939451	-0.385232	0.922774	-0.009195	-0.868188	-0.359031	0.342560
06883	9.191318	-0.091634	3.391836	-0.014518	0.007561	0.003926	0.312797	0.140032	0.939441	-0.385166	0.922800	-0.009307	-0.868220	-0.358929	0.342585
06884	9.129317	-0.122777	3.367279	-0.009894	0.007517	0.006358	0.312785	0.140137	0.939429	-0.385120	0.922818	-0.009433	-0.868244	-0.358842	0.342613
06885	9.178878	-0.144400	3.341870	-0.007101	0.002602	0.004882	0.312731	0.140213	0.939436	-0.385121	0.922817	-0.009529	-0.868263	-0.358816	0.342592
06886	9.182786	-0.128028	3.359134	-0.011726	0.002647	0.002450	0.312657	0.140338	0.939442	-0.385200	0.922783	-0.009651	-0.868255	-0.358856	0.342572
06887	9.196791	-0.172097	3.329635	-0.011176	0.008347	0.004794	0.312653	0.140434	0.939429	-0.385165	0.922796	-0.009760	-0.868272	-0.358784	0.342605
06888	9.142774	-0.168943	3.339183	-0.010671	0.007942	0.001360	0.312615	0.140548	0.939424	-0.385198	0.922781	-0.009874	-0.868271	-0.358778	0.342614
06889	9.180227	-0.166794	3.433082	-0.006827	0.005452	0.006055	0.312582	0.140644	0.939421	-0.385205	0.922777	-0.009980	-0.868280	-0.358751	0.342620
06890	9.190800	-0.171685	3.365341	-0.015846	0.002288	-0.003417	0.312542	0.140586	0.939443	-0.384942	0.922886	-0.010042	-0.868411	-0.358492	0.342559
06891	9.172476	-0.145885	3.378621	-0.018003	0.005354	0.002474	0.312522	0.140650	0.939440	-0.384841	0.922927	-0.010153	-0.868463	-0.358362	0.342562
06892	9.168302	-0.163428	3.362027	-0.002794	0.004915	0.001478	0.312487	0.140795	0.939430	-0.385043	0.922842	-0.010230	-0.868386	-0.358524	0.342588
06893	9.194383	-0.155951	3.383458	-0.008016	0.001602	-0.000703	0.312446	0.140816	0.939441	-0.385018	0.922852	-0.010277	-0.868412	-0.358491	0.342558
06894	9.180114	-0.112683	3.413655	-0.007372	0.002622	-0.003551	0.312420	0.140752	0.939459	-0.384812	0.922937	-0.010306	-0.868512	-0.358295	0.342507
06895	9.163693	-0.049429	3.354791	-0.008654	0.003453	-0.005116	0.312412	0.140739	0.939463	-0.384768	0.922956	-0.010314	-0.868535	-0.358253	0.342494
06896	9.168458	-0.107681	3.341984	-0.016170	0.001779	-0.001993	0.312375	0.140767	0.939472	-0.384684	0.922990	-0.010390	-0.868585	-0.358154	0.342469
06897	9.175836	-0.129990	3.397353	-0.023544	0.004402	-0.005544	0.312376	0.140753	0.939473	-0.384509	0.923062	-0.010444	-0.868662	-0.357974	0.342464
06898	9.202749	-0.197434	3.388753	-0.014562	0.004332	-0.009112	0.312375	0.140768	0.939471	-0.384512	0.923061	-0.010459	-0.868661	-0.357971	0.342468
06899	9.180300	-0.187809	3.385375	-0.011951	0.011646	-0.007460	0.312447	0.140763	0.939448	-0.384432	0.923094	-0.010456	-0.868671	-0.357887	0.342532
06900	9.183915	-0.170491	3.403463	-0.008745	0.011006	-0.007179	0.312573	0.140681	0.939418	-0.384195	0.923193	-0.010418	-0.868730	-0.357663	0.342614
06901	9.139113	-0.151527	3.396406	-0.013097	0.013903	-0.008437	0.312669	0.140674	0.939388	-0.384102	0.923232	-0.010409	-0.868737	-0.357566	0.342699
06902	9.206719	-0.198272	3.358616	-0.015434	0.009438	-0.008916	0.312737	0.140641	0.939370	-0.383941	0.923299	-0.010412	-0.868784	-0.357406	0.342747
06903	9.193648	-0.173751	3.338217	-0.017449	0.005485	-0.010819	0.312768	0.140582	0.939368	-0.383803	0.923357	-0.010396	-0.868833	-0.357280	0.342753
06904	9.234437	-0.153218	3.308731	-0.022082	0.002656	-0.005993	0.312707	0.140642	0.939380	-0.383790	0.923361	-0.010485	-0.868861	-0.357245	0.342718
06905	9.234341	-0.153364	3.308993	-0.024969	0.003809	-0.007698	0.312712	0.140606	0.939383	-0.383596	0.923441	-0.010524	-0.868945	-0.357053	0.342707
06906	9.211730	-0.200424	3.325595	-0.021169	-0.007663	-0.001533	0.312573	0.140619	0.939428	-0.383496	0.923481	-0.010633	-0.869039	-0.356944	0.342582
06907	9.248904	-0.197193	3.278011	-0.016675	-0.006256	-0.006945	0.312487	0.140555	0.939466	-0.383377	0.923530	-0.010651	-0.869122	-0.356842	0.342477
06908	9.202820	-0.215621	3.341301	-0.007607	-0.005440	-0.000068	0.312358	0.140567	0.939507	-0.383346	0.923543	-0.010728	-0.869183	-0.356805	0.342362
06909	9.215905	-0.240109	3.361659	-0.003575	-0.008849	0.002612	0.312213	0.140581	0.939553	-0.383370	0.923532	-0.010790	-0.869224	-0.356828	0.342233
06910	9.212664	-0.201319	3.322953	0.009668	-0.007138	0.005499	0.312073	0.140593	0.939598	-0.383411	0.923514	-0.010842	-0.869256	-0.356868	0.342109
06911	9.154183	-0.139577	3.344443	0.015212	-0.003314	0.006262	0.311963	0.140661	0.939624	-0.383610	0.923431	-0.010875	-0.869208	-0.357057	0.342035
06912	9.154734	-0.083566	3.323350	0.015670	-0.001378	0.005426	0.311859	0.140722	0.939650	-0.383761	0.923368	-0.010917	-0.869179	-0.357196	0.341964
06913	9.154725	-0.083265	3.323383	0.018697	0.001774	0.000461	0.311814	0.140754	0.939660	-0.383972	0.923280	-0.010884	-0.869101	-0.357410	0.341938
06914	9.131016	-0.053987	3.370759	0.015493	0.005292	-0.007078	0.311866	0.140732	0.939646	-0.384118	0.923221	-0.010784	-0.869018	-0.357572	0.341979
06915	9.134383	-0.092026	3.409136	0.008161	0.002701	-0.005968	0.311854	0.140708	0.939653	-0.384218	0.923180	-0.010726	-0.868978	-0.357687	0.341960
06916	9.143704	-0.076295	3.392276	-0.001688	-0.000565	-0.010585	0.311807	0.140630	0.939681	-0.384180	0.923196	-0.010683	-0.869012	-0.357676	0.341886
06917	9.184076	-0.111052	3.383537	-0.009112	0.004396	-0.011536	0.311832	0.140561	0.939683	-0.384113	0.923225	-0.010632	-0.869033	-0.357629	0.341882
06918	9.178584	-0.108273	3.417909	-0.012779	0.003100	-0.010981	0.311825	0.140469	0.939699	-0.383931	0.923301	-0.010616	-0.869116	-0.357469	0.341839
06919	9.192783	-0.151268	3.388014	-0.015669	0.001373	-0.005428	0.311800	0.140446	0.939711	-0.383825	0.923345	-0.010645	-0.869172	-0.357365	0.341805
06920	9.193774	-0.226465	3.357686	-0.013378	-0.003138	-0.003476	0.311699	0.140492	0.939737	-0.383866	0.923327	-0.010715	-0.869190	-0.357393	0.341730
06921	9.221463	-0.238137	3.327412	-0.012281	-0.003058	0.000100	0.311614	0.140504	0.939764	-0.383807	0.923350	-0.010784	-0.869246	-0.357327	0.341655
06922	9.222991	-0.257674	3.275910	-0.003163	-0.004577	0.004377	0.311466	0.140616	0.939796	-0.383949	0.923290	-0.010898	-0.869236	-0.357439	0.341563
